,時点,死亡数,集計年,説明変数,予測値,実測値からの差
0,1978年1月,69746,1978,1978.0833333333333,49805.4411512902,19940.5588487098
1,1978年2月,62168,1978,1978.1666666666667,49935.347726629116,12232.652273370884
2,1978年3月,61633,1978,1978.25,50065.25430196803,11567.74569803197
3,1978年4月,56847,1978,1978.3333333333333,50195.160877306946,6651.839122693054
4,1978年5月,55910,1978,1978.4166666666667,50325.06745264586,5584.932547354139
5,1978年6月,53224,1978,1978.5,50454.974027984776,2769.0259720152244
6,1978年7月,55973,1978,1978.5833333333333,50584.880603323225,5388.119396676775
7,1978年8月,54424,1978,1978.6666666666667,50714.787178662606,3709.2128213373944
8,1978年9月,50707,1978,1978.75,50844.693754001055,-137.6937540010549
9,1978年10月,56824,1978,1978.8333333333333,50974.60032933997,5849.39967066003
10,1978年11月,56857,1978,1978.9166666666667,51104.50690467935,5752.493095320649
11,1978年12月,61508,1978,1979.0,51234.4134800178,10273.5865199822
12,1979年1月,64749,1979,1979.0833333333333,51364.320055356715,13384.679944643285
13,1979年2月,54762,1979,1979.1666666666667,51494.22663069563,3267.77336930437
14,1979年3月,61104,1979,1979.25,51624.133206034545,9479.866793965455
15,1979年4月,57316,1979,1979.3333333333333,51754.03978137346,5561.96021862654
16,1979年5月,57254,1979,1979.4166666666667,51883.946356712375,5370.053643287625
17,1979年6月,53303,1979,1979.5,52013.85293205129,1289.1470679487102
18,1979年7月,53954,1979,1979.5833333333333,52143.759507390205,1810.2404926097952
19,1979年8月,54851,1979,1979.6666666666667,52273.66608272912,2577.33391727088
20,1979年9月,51865,1979,1979.75,52403.572658068035,-538.5726580680348
21,1979年10月,57236,1979,1979.8333333333333,52533.47923340695,4702.52076659305
22,1979年11月,58845,1979,1979.9166666666667,52663.385808745865,6181.614191254135
23,1979年12月,64425,1979,1980.0,52793.29238408478,11631.70761591522
24,1980年1月,70362,1980,1980.0833333333333,52923.19895942323,17438.80104057677
25,1980年2月,66245,1980,1980.1666666666667,53053.10553476261,13191.89446523739
26,1980年3月,69135,1980,1980.25,53183.01211010106,15951.987889898941
